,App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Body,Oracle,Body_token,Body_no_negations,Body_no_negations_no_sw,Body_no_negations_no_sw_stem,Body_token_n_grams,Translated Subject
12,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRlZSTVBUa0ZyVzFnNnJscXlmdnAwVmNkcDBrdld4Nl9HLWVlcVpMUUVwek4tZk9rQ0NDMWxFbUVvSjFzbUFoWDhDamwzNDVpQXJZeVZ2d2c,English,,2,2017-01-18,masoud eshaghi,,While using whatsapp or skype  vpn is not working,,BUG,"['while', 'using', 'whatsapp', 'or', 'skype', 'vpn', 'is', 'not', 'working']","['while', 'using', 'whatsapp', 'or', 'skype', 'vpn', 'is']","['whatsapp', 'skype', 'vpn']","['whatsapp', 'skype', 'vpn']","[('while', 'using'), ('using', 'whatsapp'), ('whatsapp', 'or'), ('or', 'skype'), ('skype', 'vpn'), ('vpn', 'is'), ('is', 'not'), ('not', 'working'), ('while', 'using', 'whatsapp'), ('using', 'whatsapp', 'or'), ('whatsapp', 'or', 'skype'), ('or', 'skype', 'vpn'), ('skype', 'vpn', 'is'), ('vpn', 'is', 'not'), ('is', 'not', 'working'), ('while', 'using', 'whatsapp', 'or'), ('using', 'whatsapp', 'or', 'skype'), ('whatsapp', 'or', 'skype', 'vpn'), ('or', 'skype', 'vpn', 'is'), ('skype', 'vpn', 'is', 'not'), ('vpn', 'is', 'not', 'working')]",
13,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRkhJMnNfaVdsS2x0QXFrcDNqMVlWaWZoX1UzeFR5OFhkNWFGc3cxM1RSeGMxYVVmQTNvam1JQjFOa0gyZjlIdVJDcjJsU0twU2J0NElJY0E,English,,5,2017-01-07,Robert Sly,Fantastic,Works like it says!,,OTHER,"['works', 'like', 'it', 'says', '!']","['works', 'like', 'it', 'says', '!']","['works', '!']","['work', '!']","[('works', 'like'), ('like', 'it'), ('it', 'says'), ('says', '!'), ('works', 'like', 'it'), ('like', 'it', 'says'), ('it', 'says', '!'), ('works', 'like', 'it', 'says'), ('like', 'it', 'says', '!')]",
14,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSHN6b1daYkRiN1YydGZwRDRqWEVBTGVmVWsxb3JwSjdDb3NOZGh1NTVXcnpSa2hJMWptb3dLTUdtZEdhRURFRWRkQ2JYNDByX280UUlMekE,English,,5,2016-12-30,Thompson Lee,not at all time,nice but sometime slow connection?,,PERFORMANCE,"['nice', 'but', 'sometime', 'slow', 'connection', '?']","['nice', 'but', 'sometime', 'slow', 'connection', '?']","['nice', 'slow', 'connection', '?']","['nice', 'slow', 'connect', '?']","[('nice', 'but'), ('but', 'sometime'), ('sometime', 'slow'), ('slow', 'connection'), ('connection', '?'), ('nice', 'but', 'sometime'), ('but', 'sometime', 'slow'), ('sometime', 'slow', 'connection'), ('slow', 'connection', '?'), ('nice', 'but', 'sometime', 'slow'), ('but', 'sometime', 'slow', 'connection'), ('sometime', 'slow', 'connection', '?')]",
15,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSGVmVEt6NUN5c1hlY3BHT0lYeHdKYWZrUXJrVkxaVGhtTW1lZUdPNFhHSTlZQnBSd051cXlpZEdPS3AxWTl2eUlrN3VBS0dpdHJqbmtBYVE,English,,5,2016-12-26,Farhad Ebrahim,,Useful,,OTHER,['useful'],['useful'],[],[],[],
16,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRTZqSVlSS3d4Mk1DMGZ6Zm1LX0pUQVU5SXdnNm9ZZG5CTUxleGdkRGFjZnJELUI5SkVZeVFVZWZ1Q0d2NFlScGEwYlJuUndRaml3YVUtNXc,English,,3,2016-12-25,John Paul Galliano,,V1.11 caused VPN to not receive return traffic. Had to downgrade to earlier version,,BUG,"['v1.11', 'caused', 'vpn', 'to', 'not', 'receive', 'return', 'traffic', '.', 'had', 'to', 'downgrade', 'to', 'earlier', 'version']","['v1.11', 'caused', 'vpn', 'to', 'return', 'traffic', '.', 'had', 'to', 'downgrade', 'to', 'earlier', 'version']","['v1.11', 'caused', 'vpn', 'return', 'traffic', '.', 'downgrade', 'earlier', 'version']","['v1.11', 'caus', 'vpn', 'return', 'traffic', '.', 'downgrad', 'earlier', 'version']","[('v1.11', 'caused'), ('caused', 'vpn'), ('vpn', 'to'), ('to', 'not'), ('not', 'receive'), ('receive', 'return'), ('return', 'traffic'), ('traffic', '.'), ('.', 'had'), ('had', 'to'), ('to', 'downgrade'), ('downgrade', 'to'), ('to', 'earlier'), ('earlier', 'version'), ('v1.11', 'caused', 'vpn'), ('caused', 'vpn', 'to'), ('vpn', 'to', 'not'), ('to', 'not', 'receive'), ('not', 'receive', 'return'), ('receive', 'return', 'traffic'), ('return', 'traffic', '.'), ('traffic', '.', 'had'), ('.', 'had', 'to'), ('had', 'to', 'downgrade'), ('to', 'downgrade', 'to'), ('downgrade', 'to', 'earlier'), ('to', 'earlier', 'version'), ('v1.11', 'caused', 'vpn', 'to'), ('caused', 'vpn', 'to', 'not'), ('vpn', 'to', 'not', 'receive'), ('to', 'not', 'receive', 'return'), ('not', 'receive', 'return', 'traffic'), ('receive', 'return', 'traffic', '.'), ('return', 'traffic', '.', 'had'), ('traffic', '.', 'had', 'to'), ('.', 'had', 'to', 'downgrade'), ('had', 'to', 'downgrade', 'to'), ('to', 'downgrade', 'to', 'earlier'), ('downgrade', 'to', 'earlier', 'version')]",
17,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRmdHaE5WZHoydFpYVTg5aVhMdDZKUy1PN1I5UFM5azI1T2pldkx3NldfT3F5YmVvY0F6VnM4WFlHYl8ydF9CMjBocTQ3OXdlTS05RkhlNUE,English,,5,2016-12-10,Christopher Norzagaray,Actually works,The official AnyConnect client didn't let me connect to anything for work but this works just like I would have hoped.,,USABILITY,"['the', 'official', 'anyconnect', 'client', 'did', ""n't"", 'let', 'me', 'connect', 'to', 'anything', 'for', 'work', 'but', 'this', 'works', 'just', 'like', 'i', 'would', 'have', 'hoped', '.']","['the', 'official', 'anyconnect', 'client', 'did', 'me', 'connect', 'to', 'anything', 'for', 'work', 'but', 'this', 'works', 'just', 'like', 'i', 'would', 'have', 'hoped', '.']","['official', 'anyconnect', 'client', 'connect', 'work', 'works', 'hoped', '.']","['offici', 'anyconnect', 'client', 'connect', 'work', 'work', 'hope', '.']","[('the', 'official'), ('official', 'anyconnect'), ('anyconnect', 'client'), ('client', 'did'), ('did', ""n't""), (""n't"", 'let'), ('let', 'me'), ('me', 'connect'), ('connect', 'to'), ('to', 'anything'), ('anything', 'for'), ('for', 'work'), ('work', 'but'), ('but', 'this'), ('this', 'works'), ('works', 'just'), ('just', 'like'), ('like', 'i'), ('i', 'would'), ('would', 'have'), ('have', 'hoped'), ('hoped', '.'), ('the', 'official', 'anyconnect'), ('official', 'anyconnect', 'client'), ('anyconnect', 'client', 'did'), ('client', 'did', ""n't""), ('did', ""n't"", 'let'), (""n't"", 'let', 'me'), ('let', 'me', 'connect'), ('me', 'connect', 'to'), ('connect', 'to', 'anything'), ('to', 'anything', 'for'), ('anything', 'for', 'work'), ('for', 'work', 'but'), ('work', 'but', 'this'), ('but', 'this', 'works'), ('this', 'works', 'just'), ('works', 'just', 'like'), ('just', 'like', 'i'), ('like', 'i', 'would'), ('i', 'would', 'have'), ('would', 'have', 'hoped'), ('have', 'hoped', '.'), ('the', 'official', 'anyconnect', 'client'), ('official', 'anyconnect', 'client', 'did'), ('anyconnect', 'client', 'did', ""n't""), ('client', 'did', ""n't"", 'let'), ('did', ""n't"", 'let', 'me'), (""n't"", 'let', 'me', 'connect'), ('let', 'me', 'connect', 'to'), ('me', 'connect', 'to', 'anything'), ('connect', 'to', 'anything', 'for'), ('to', 'anything', 'for', 'work'), ('anything', 'for', 'work', 'but'), ('for', 'work', 'but', 'this'), ('work', 'but', 'this', 'works'), ('but', 'this', 'works', 'just'), ('this', 'works', 'just', 'like'), ('works', 'just', 'like', 'i'), ('just', 'like', 'i', 'would'), ('like', 'i', 'would', 'have'), ('i', 'would', 'have', 'hoped'), ('would', 'have', 'hoped', '.')]",
18,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRWc3OVdlWG0wMUdWZF82akpaSGxja0poc0pBVVRTSzZ4aHl0SmJwQzBwaUg5LXBSYmZfSzJ4blIxbWEzWEJrR1pvV1Rld3pQaXNwMGRDRnc,English,,5,2016-11-24,Morteza ghasemi kooshkolayee,,Awesome,,OTHER,['awesome'],['awesome'],['awesome'],['awesom'],[],
19,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSENuTVhUNEhZNTdSZXQ4N0xkUDRkQmYxczlsb3N6VHM4SVhhNmhwMWszNXM1aGhrOHhUMzdLVzByX2FlWVJlMnVaaFB6SHVqc2NMeW96NUE,English,,5,2016-11-20,Iq tricks,This is right VPN connect tool,This is right VPN connect tool,,OTHER,"['this', 'is', 'right', 'vpn', 'connect', 'tool']","['this', 'is', 'right', 'vpn', 'connect', 'tool']","['vpn', 'connect', 'tool']","['vpn', 'connect', 'tool']","[('this', 'is'), ('is', 'right'), ('right', 'vpn'), ('vpn', 'connect'), ('connect', 'tool'), ('this', 'is', 'right'), ('is', 'right', 'vpn'), ('right', 'vpn', 'connect'), ('vpn', 'connect', 'tool'), ('this', 'is', 'right', 'vpn'), ('is', 'right', 'vpn', 'connect'), ('right', 'vpn', 'connect', 'tool')]",
20,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSG1UVWlTc0lnck9wNTdTbFRPdHZSR2dXcHdjVmo5c3VHWXo0eDdxSkdUTzhSYkpkSFYycUJnVzdhZEpfdFlmX2d5bUUtYWVlNnlJVTVQV1E,English,,5,2016-11-15,Morteza Tadayoni,jone dele,,,OTHER,['nan'],['nan'],['nan'],['nan'],[],
21,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRm9hRlpseTN3NDdwX1l1eHFmNDNBR09qWjFjTXlnSC14cU5DX0dYZFJ5TGlMTzBINk1NZTF1T2FyRjl6XzhPSDRoUUtrd200TlNuRHZEZ2c,English,,5,2016-10-28,Pablo Jorge Madril,Fantastic,Just worked at first try!!,,USABILITY,"['just', 'worked', 'at', 'first', 'try', '!', '!']","['just', 'worked', 'at', 'first', 'try', '!', '!']","['worked', '!', '!']","['work', '!', '!']","[('just', 'worked'), ('worked', 'at'), ('at', 'first'), ('first', 'try'), ('try', '!'), ('!', '!'), ('just', 'worked', 'at'), ('worked', 'at', 'first'), ('at', 'first', 'try'), ('first', 'try', '!'), ('try', '!', '!'), ('just', 'worked', 'at', 'first'), ('worked', 'at', 'first', 'try'), ('at', 'first', 'try', '!'), ('first', 'try', '!', '!')]",
22,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRmE0S3AyaDZZdGN3R1p6Y2pfdlA4ZDF2SWQ5MVJza3ZtRWhpbXlMMlptSGxmdUVzTi1VaS1uTEFCM1ltQ3NHZ2xzcGl1clpISTVDb01oRkE,English,,5,2016-10-15,,I love this app,I like this app,,OTHER,"['i', 'like', 'this', 'app']","['i', 'like', 'this', 'app']",['app'],['app'],"[('i', 'like'), ('like', 'this'), ('this', 'app'), ('i', 'like', 'this'), ('like', 'this', 'app'), ('i', 'like', 'this', 'app')]",
23,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRlBVTkhuV3BRNU9GYmFBZm1NVWxjMWtRbDNmZlhqc3Q4dFhuR3gwZFUzeDF1eXI3Q2ZpR1hBSUZUcDhNdi11YkVnR0tsSEdJdHFwdXVQZXc,English,,5,2016-10-02,Charles Gunzelman,,Worked great,,OTHER,"['worked', 'great']","['worked', 'great']","['worked', 'great']","['work', 'great']","[('worked', 'great')]",
24,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRVdZdUh6TS1obUxCSnFNZC15bk82cEFFT1JycFp0ZGhSNEVvR1BiVGJxTU1oLXZVVDFVakJYbExpbmFDekJ5aU53czZDSnNLRjRETmd4Z1E,English,,5,2016-10-01,Arian Narenjkar,Love it!!!,Just Great.,,OTHER,"['just', 'great', '.']","['just', 'great', '.']","['great', '.']","['great', '.']","[('just', 'great'), ('great', '.'), ('just', 'great', '.')]",
25,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSDE0OXNtSHMxZkYwM2xoZ1hjTWJybi11ZThBQjJHaVhwcWFEbWtOcnJmY2lhbVJSdS1vUjNZWEJtaDN5QU16OHpBRWlRY1RucExwTlQ5M1E,English,,5,2016-09-23,BaBaK D,Love It,Best Von App,,OTHER,"['best', 'von', 'app']","['best', 'von', 'app']","['von', 'app']","['von', 'app']","[('best', 'von'), ('von', 'app'), ('best', 'von', 'app')]",
